ID,RunningName,Version,Age,Gender,Round,Card,Nrounds,Ncards,Condition,Order,CardValue,Mode,CurrentMean,CurrentStd,Time,ElapsedTimeMil
352,test,test,20,Male,1,1,5,10,Mixed,Mixed,4881,2,5000,200,14:15:48,14094
352,test,test,20,Male,2,1,5,10,Mixed,Mixed,423,2,500,200,14:15:51,17008
352,test,test,20,Male,3,1,5,10,Mixed,Mixed,575,2,500,200,14:15:53,18862
352,test,test,20,Male,4,1,5,10,Mixed,Mixed,4893,2,5000,200,14:15:55,20612
352,test,test,20,Male,5,1,5,10,Mixed,Mixed,5274,1,5000,200,14:15:57,22519
352,test,test,20,Male,5,2,5,10,Mixed,Mixed,5364,2,5000,200,14:15:58,24017
1,test2,test_1,20,Male,1,1,5,10,Mixed,Mixed,5143,2,5000,200,14:56:07,8428
1,test2,test_1,20,Male,2,1,5,10,Mixed,Mixed,200,2,500,200,14:56:09,10321
1,test2,test_1,20,Male,3,1,5,10,Mixed,Mixed,5107,2,5000,200,14:56:11,11814
1,test2,test_1,20,Male,4,1,5,10,Mixed,Mixed,585,2,500,200,14:56:13,13615
1,test2,test_1,20,Male,5,1,5,10,Mixed,Mixed,4600,2,5000,200,14:56:15,15642
333,,,,,,,,,,,,,,,,
5,test2,test_1,22,Male,1,1,5,10,Mixed,Mixed,5240,2,5000,200,20:41:31,14926
5,test2,test_1,22,Male,2,1,5,10,Mixed,Mixed,5265,2,5000,200,20:41:33,17136
5,test2,test_1,22,Male,3,1,5,10,Mixed,Mixed,677,2,500,200,20:41:35,18765
5,test2,test_1,22,Male,4,1,5,10,Mixed,Mixed,436,2,500,200,20:41:36,20606
5,test2,test_1,22,Male,5,1,5,10,Mixed,Mixed,4767,2,5000,200,20:41:38,22104
